City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,eyl,7.9803,49.8164,24.5,70,51,7.09,SO,1675658136
290,thohoyandou,-22.9456,30.485,20.15,70,0,0.8,ZA,1675658136
291,suclayin,15.7568,121.5503,26.1,77,100,1.51,PH,1675658136
292,zubtsov,56.1753,34.5894,-11.89,98,100,1.55,RU,1675658137
293,tetelzingo,19.0667,-97.15,6.0,86,68,0.79,MX,1675658137
294,zhanaozen,43.3,52.8,0.67,75,75,5.77,KZ,1675657840
295,samandag,36.0842,35.9771,7.5,97,100,1.56,TR,1675658138
296,araouane,18.9048,-3.5265,15.19,21,11,3.86,ML,1675658138
297,padang,-0.9492,100.3543,31.03,60,94,2.98,ID,1675658138
298,launceston,-41.45,147.1667,27.01,38,75,7.2,AU,1675658028
299,helena,46.5927,-112.0361,3.55,65,0,2.57,US,1675658139
300,luanshya,-13.1367,28.4166,17.0,97,100,1.47,ZM,1675658139
301,gizo,-8.103,156.8419,26.16,86,100,7.05,SB,1675658140
302,hays,30.0502,-98.0336,15.59,85,0,1.34,US,1675658141
303,sept-iles,50.2001,-66.3821,-16.0,73,75,2.06,CA,1675658141
304,haines junction,60.7522,-137.5108,-11.03,85,100,0.51,CA,1675658141
305,thunder bay,48.4001,-89.3168,-19.05,78,0,1.03,CA,1675657846
306,sohag,26.557,31.6948,9.92,54,2,2.31,EG,1675658142
307,abalak,58.1286,68.5944,-14.32,97,100,0.72,RU,1675658142
308,wundanyi,-3.4019,38.364,18.58,66,10,1.45,KE,1675658142
309,lasa,46.6166,10.7002,0.49,91,54,2.63,IT,1675658143
310,nieuw amsterdam,5.8833,-55.0833,25.57,86,100,3.93,SR,1675658143
311,muros,42.7762,-9.0603,5.47,83,6,3.25,ES,1675658143
312,luderitz,-26.6481,15.1594,16.62,91,87,0.63,NA,1675658144
313,komsomolskiy,40.4272,71.7189,3.4,93,100,2.06,UZ,1675658144
314,okha,53.5739,142.9478,-17.76,91,99,5.46,RU,1675657950
315,itarema,-2.9248,-39.9167,24.61,89,44,3.22,BR,1675658124
316,saint-leu,-21.15,55.2833,28.48,74,76,1.87,RE,1675657920
317,faya,18.3851,42.4509,11.06,33,84,1.81,SA,1675657936
318,saint george,37.1041,-113.5841,5.8,78,100,5.66,US,1675657939
319,bavly,54.393,53.2602,-9.47,97,100,1.05,RU,1675658145
320,zanjan,36.6736,48.4787,-0.17,55,75,4.12,IR,1675658145
321,tondabayashi,34.5,135.6,12.5,40,100,2.06,JP,1675658145
322,lata,40.1629,-8.3327,5.04,78,0,2.26,PT,1675658146
323,amiens,49.9,2.3,3.55,94,47,2.34,FR,1675658146
324,biak,-0.9131,122.8766,27.45,65,95,2.24,ID,1675658146
325,cameta,-2.2444,-49.4958,23.48,92,74,1.61,BR,1675658000
326,vangaindrano,-23.35,47.6,24.53,88,98,0.92,MG,1675658147
327,ambunti,-4.2365,142.8448,30.73,62,99,1.96,PG,1675658147
328,santa ana,33.7456,-117.8678,14.2,77,20,2.57,US,1675658094
329,taybad,34.74,60.7756,7.28,45,0,0.43,IR,1675658148
330,kattivakkam,13.2167,80.3167,28.05,62,100,4.02,IN,1675658148
331,coaticook,45.1334,-71.7991,0.87,90,95,2.68,CA,1675658148
332,seymchan,62.8833,152.4333,-29.84,93,97,0.14,RU,1675658001
333,nuuk,64.1835,-51.7216,-13.18,90,100,2.76,GL,1675657951
334,los llanos de aridane,28.6585,-17.9182,12.86,70,0,4.63,ES,1675658149
335,virginia beach,36.8529,-75.978,9.45,96,75,0.0,US,1675657943
336,jiwani,25.05,61.7417,22.21,44,7,2.95,PK,1675658149
337,merauke,-8.4667,140.3333,27.07,84,98,3.05,ID,1675658150
338,wabag,-5.4781,143.7021,17.92,88,100,1.34,PG,1675658150
339,buchanan,5.8808,-10.0467,25.59,90,99,1.84,LR,1675658150
340,namatanai,-3.6667,152.4333,28.73,70,91,2.16,PG,1675657875
341,hobyo,5.3505,48.5268,25.72,69,82,7.3,SO,1675657944
342,dongsheng,39.8161,109.9776,-0.16,27,26,2.72,CN,1675658151
343,comodoro rivadavia,-45.8667,-67.5,15.92,72,0,5.14,AR,1675658053
344,ahipara,-35.1667,173.1667,22.07,73,52,3.97,NZ,1675658151
345,saldanha,-33.0117,17.9442,17.03,88,0,2.22,ZA,1675658151
346,payakumbuh,-0.2202,100.6308,27.27,56,100,0.85,ID,1675658152
347,glazov,58.1394,52.6584,-17.39,99,94,1.79,RU,1675658152
348,kununurra,-15.7667,128.7333,34.99,24,33,2.57,AU,1675658016
349,sobolevo,54.4299,31.8996,-9.94,97,100,1.61,RU,1675657982
350,tura,25.5198,90.2201,23.65,32,0,2.01,IN,1675658004
351,laguna,38.421,-121.4238,8.99,85,0,2.06,US,1675657905
352,macaubas,-13.0194,-42.6986,20.75,65,86,1.03,BR,1675658153
353,labuhan,-6.8844,112.2051,26.64,82,98,3.35,ID,1675658153
354,nanortalik,60.1432,-45.2371,-8.33,73,100,11.52,GL,1675658153
355,butembo,0.15,29.2833,17.27,52,75,0.85,CD,1675658154
356,korla,41.7597,86.1469,0.95,50,40,0.71,CN,1675658154
357,aykhal,66.0,111.5,-28.87,95,100,1.19,RU,1675658003
358,sanski most,44.7653,16.6656,-3.67,81,84,1.23,BA,1675658155
359,sola,-13.8833,167.55,28.2,71,99,6.91,VU,1675658155
360,nemuro,43.3236,145.575,-1.52,71,70,0.87,JP,1675658155
361,den helder,52.9599,4.7593,4.99,98,100,1.03,NL,1675658156
362,mount gambier,-37.8333,140.7667,20.66,50,7,4.24,AU,1675657947
